,gfp_rbs_foldx,codon,charging_rate,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
130,10.0,0.3,1000.0,0.7084444444444445,218.66666666666666,11105.333333333334,0.8133333333333332,326.6666666666667,9.666666666666666,99.0,110008.0,0.5706666666666667,112374.66666666667,0.9789395000059324
131,10.0,0.3,5000.0,0.9284444444444445,53.666666666666664,12365.666666666666,0.952952380952381,82.33333333333333,10.0,99.0,122941.66666666667,0.608,124819.66666666667,0.9849542940615662
132,10.0,0.5,50.0,0.03777777777777778,721.6666666666666,1752.3333333333333,0.38457142857142856,1077.0,10.0,96.66666666666667,17158.333333333332,0.08266666666666667,17791.0,0.9644389485320293
133,10.0,0.5,100.0,0.08133333333333333,689.0,3303.3333333333335,0.444,973.0,9.666666666666666,96.0,32918.666666666664,0.15933333333333335,34106.0,0.9651869661252174
134,10.0,0.5,250.0,0.2422222222222222,568.3333333333334,6861.666666666667,0.5007619047619047,873.6666666666666,10.0,97.33333333333333,67765.33333333333,0.336,69857.66666666667,0.9700486226756307
135,10.0,0.5,500.0,0.46622222222222226,400.3333333333333,9543.333333333334,0.6643809523809524,587.3333333333334,10.0,98.0,94376.66666666667,0.4553333333333333,96524.66666666667,0.977746620898285
136,10.0,0.5,1000.0,0.6924444444444445,230.66666666666666,11168.333333333334,0.8059047619047619,339.6666666666667,10.0,97.66666666666667,110500.66666666667,0.5426666666666666,112522.33333333333,0.9820331963728682
137,10.0,0.5,5000.0,0.9377777777777778,46.666666666666664,12414.333333333334,0.9567619047619047,75.66666666666667,10.0,99.33333333333333,123144.0,0.6006666666666667,124781.66666666667,0.9868757429643777
138,10.0,0.7,50.0,0.043111111111111114,717.6666666666666,1830.3333333333333,0.3822857142857143,1081.0,9.666666666666666,94.66666666666667,17396.333333333332,0.082,17795.333333333332,0.9775783913385532
139,10.0,0.7,100.0,0.08266666666666667,688.0,3376.3333333333335,0.38971428571428574,1068.0,10.0,95.66666666666667,33368.666666666664,0.15933333333333335,34107.333333333336,0.9783428783643789
140,10.0,0.7,250.0,0.25022222222222223,562.3333333333334,6961.666666666667,0.5196190476190476,840.6666666666666,10.0,98.33333333333333,68451.66666666667,0.334,69884.66666666667,0.979494786648478
