,gfp_copy,codon,bind_rate,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
63,5,0.1,30000.0,428.6666666666667,321.3333333333333,57.666666666666664,1273.6666666666667,476.3333333333333,5.0,99.0,23664.0,386.0,23802.666666666668,0.994174322204795
64,5,0.1,100000.0,249.66666666666666,500.3333333333333,94.33333333333333,953.3333333333334,796.6666666666666,5.0,98.66666666666667,38709.0,192.0,38727.666666666664,0.9995180017730649
65,5,0.1,300000.0,169.33333333333334,580.6666666666666,110.33333333333333,886.6666666666666,863.3333333333334,5.0,96.66666666666667,42785.0,66.0,42859.0,0.9982734081523134
66,5,0.3,1000.0,730.3333333333334,19.666666666666668,2.3333333333333335,1720.3333333333333,29.666666666666668,5.0,99.66666666666667,1040.3333333333333,495.6666666666667,1057.3333333333333,0.983921815889029
67,5,0.3,3000.0,700.6666666666666,49.333333333333336,8.333333333333334,1670.0,80.0,5.0,99.66666666666667,3014.0,487.3333333333333,3065.6666666666665,0.9831466782646515
68,5,0.3,10000.0,625.6666666666666,124.33333333333333,23.666666666666668,1557.3333333333333,192.66666666666666,5.0,99.66666666666667,9603.666666666666,466.6666666666667,9679.0,0.9922168268071769
69,5,0.3,30000.0,422.0,328.0,52.333333333333336,1253.0,497.0,5.0,98.33333333333333,23698.666666666668,384.6666666666667,23751.0,0.9977965840034806
70,5,0.3,100000.0,224.66666666666666,525.3333333333334,90.66666666666667,974.3333333333334,775.6666666666666,5.0,98.33333333333333,38724.0,192.66666666666666,38726.0,0.9999483551102618
71,5,0.3,300000.0,176.66666666666666,573.3333333333334,106.0,887.0,863.0,5.0,96.33333333333333,42813.333333333336,76.33333333333333,42851.0,0.9991209851189782
72,5,0.5,1000.0,738.0,12.0,2.3333333333333335,1727.3333333333333,22.666666666666668,5.0,100.0,1042.6666666666667,497.0,1057.3333333333333,0.9861286254728879
73,5,0.5,3000.0,728.6666666666666,21.333333333333332,8.333333333333334,1715.0,35.0,5.0,100.0,3038.6666666666665,494.6666666666667,3057.6666666666665,0.9937861114139321
74,5,0.5,10000.0,626.0,124.0,27.0,1562.0,188.0,5.0,99.66666666666667,9577.333333333334,469.6666666666667,9624.666666666666,0.995082080764702
75,5,0.5,30000.0,420.6666666666667,329.3333333333333,59.333333333333336,1242.0,508.0,5.0,98.33333333333333,23704.0,382.3333333333333,23751.0,0.9980211359521705
76,5,0.5,100000.0,239.66666666666666,510.3333333333333,100.0,961.0,789.0,5.0,97.33333333333333,38694.666666666664,189.33333333333334,38761.0,0.9982886578433648
77,5,0.5,300000.0,178.0,572.0,108.33333333333333,870.6666666666666,879.3333333333334,5.0,96.0,42809.0,66.66666666666667,42853.333333333336,0.9989654635967641
78,5,0.7,1000.0,732.0,18.0,2.3333333333333335,1717.6666666666667,32.333333333333336,5.0,100.0,1043.3333333333333,495.6666666666667,1058.3333333333333,0.9858267716535433
79,5,0.7,3000.0,704.6666666666666,45.333333333333336,5.0,1679.3333333333333,70.66666666666667,5.0,100.0,3082.3333333333335,490.3333333333333,3082.3333333333335,1.0
80,5,0.7,10000.0,642.6666666666666,107.33333333333333,26.666666666666668,1586.0,164.0,5.0,99.66666666666667,9619.333333333334,472.6666666666667,9628.0,0.9990998476665283
81,5,0.7,30000.0,436.6666666666667,313.3333333333333,54.333333333333336,1287.3333333333333,462.6666666666667,5.0,99.66666666666667,23725.0,393.6666666666667,23731.666666666668,0.9997190813961654
82,5,0.7,100000.0,234.0,516.0,102.33333333333333,983.3333333333334,766.6666666666666,5.0,98.0,38715.666666666664,201.33333333333334,38732.333333333336,0.9995696962916425
83,5,0.7,300000.0,181.33333333333334,568.6666666666666,106.66666666666667,896.3333333333334,853.6666666666666,5.0,97.33333333333333,42829.666666666664,71.33333333333333,42855.0,0.9994088593318554
84,5,0.9,1000.0,732.3333333333334,17.666666666666668,2.3333333333333335,1730.0,20.0,5.0,100.0,1048.0,496.6666666666667,1067.6666666666667,0.9815797689665937
85,5,0.9,3000.0,714.3333333333334,35.666666666666664,9.333333333333334,1692.6666666666667,57.333333333333336,5.0,99.66666666666667,2990.6666666666665,491.3333333333333,3046.0,0.9818340993652878
86,5,0.9,10000.0,630.0,120.0,22.666666666666668,1583.0,167.0,5.0,100.0,9635.333333333334,471.6666666666667,9656.666666666666,0.997790818087677
87,5,0.9,30000.0,398.0,352.0,56.666666666666664,1220.6666666666667,529.3333333333334,5.0,99.66666666666667,23678.333333333332,373.0,23755.666666666668,0.9967446363674631
88,5,0.9,100000.0,220.66666666666666,529.3333333333334,96.33333333333333,968.0,782.0,5.0,96.33333333333333,38713.333333333336,175.0,38736.666666666664,0.9993976421994666
89,5,0.9,300000.0,187.0,563.0,108.66666666666667,904.3333333333334,845.6666666666666,5.0,96.66666666666667,42848.0,71.66666666666667,42848.666666666664,0.9999844413672927
90,10,0.1,1000.0,731.5,18.5,11.0,1718.5,31.5,10.0,100.0,1035.0,495.0,1057.3333333333333,0.9788776796973518
91,10,0.1,3000.0,712.6666666666666,37.333333333333336,30.333333333333332,1692.6666666666667,57.333333333333336,10.0,100.0,2995.0,490.3333333333333,3040.6666666666665,0.9849813637360229
92,10,0.1,10000.0,623.3333333333334,126.66666666666667,102.66666666666667,1570.6666666666667,179.33333333333334,10.0,100.0,9596.0,468.3333333333333,9653.333333333334,0.9940607734806629
93,10,0.1,30000.0,431.0,319.0,237.66666666666666,1263.0,487.0,10.0,99.66666666666667,23692.333333333332,386.3333333333333,23802.666666666668,0.9953646650235267
94,10,0.1,100000.0,234.33333333333334,515.6666666666666,399.0,956.0,794.0,10.0,97.66666666666667,38564.666666666664,198.33333333333334,38727.666666666664,0.9957911226255132
95,10,0.1,300000.0,184.0,566.0,455.6666666666667,865.0,885.0,10.0,94.66666666666667,42602.666666666664,73.66666666666667,42859.0,0.9940191480591396
96,10,0.3,1000.0,728.6666666666666,21.333333333333332,13.333333333333334,1719.6666666666667,30.333333333333332,10.0,100.0,1036.0,494.6666666666667,1057.3333333333333,0.9798234552332914
97,10,0.3,3000.0,721.3333333333334,28.666666666666668,34.0,1710.6666666666667,39.333333333333336,10.0,100.0,2997.0,492.0,3065.6666666666665,0.9776013917581821
98,10,0.3,10000.0,626.3333333333334,123.66666666666667,103.33333333333333,1570.3333333333333,179.66666666666666,10.0,99.66666666666667,9612.666666666666,469.3333333333333,9679.0,0.9931466749319833
99,10,0.3,30000.0,420.3333333333333,329.6666666666667,234.66666666666666,1271.0,479.0,10.0,99.66666666666667,23699.666666666668,378.0,23751.0,0.99783868749386
100,10,0.3,100000.0,217.66666666666666,532.3333333333334,414.3333333333333,981.6666666666666,768.3333333333334,10.0,97.33333333333333,38568.333333333336,177.33333333333334,38726.0,0.9959286611923084
101,10,0.3,300000.0,167.33333333333334,582.6666666666666,450.0,915.6666666666666,834.3333333333334,10.0,96.66666666666667,42649.0,57.333333333333336,42851.0,0.9952859909920422
102,10,0.5,1000.0,729.3333333333334,20.666666666666668,10.333333333333334,1723.3333333333333,26.666666666666668,10.0,100.0,1021.6666666666666,496.0,1057.3333333333333,0.9662673392181589
103,10,0.5,3000.0,718.0,32.0,34.0,1704.3333333333333,45.666666666666664,10.0,100.0,3057.6666666666665,492.6666666666667,3057.6666666666665,1.0
104,10,0.5,10000.0,632.3333333333334,117.66666666666667,102.0,1571.0,179.0,10.0,100.0,9591.666666666666,469.3333333333333,9624.666666666666,0.9965713098289118
105,10,0.5,30000.0,448.0,302.0,229.66666666666666,1258.3333333333333,491.6666666666667,10.0,99.0,23718.0,392.6666666666667,23751.0,0.9986105848174813
