,gfp_rbs_foldx,codon,charging_rate,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
44,0.3,0.9,250.0,0.6457777777777778,265.6666666666667,96.0,0.7874285714285715,372.0,10.0,96.66666666666667,32627.0,0.178,32627.0,1.0
45,0.3,0.9,500.0,0.8151111111111111,138.66666666666666,118.66666666666667,0.8714285714285714,225.0,10.0,98.66666666666667,37673.666666666664,0.18733333333333335,37692.0,0.9995136014715765
46,0.3,0.9,1000.0,0.8915555555555555,81.33333333333333,118.0,0.9344761904761905,114.66666666666667,10.0,98.66666666666667,40678.0,0.21333333333333335,40721.0,0.9989440337909187
47,0.3,0.9,5000.0,0.9751111111111112,18.666666666666668,131.66666666666666,0.9845714285714285,27.0,10.0,97.0,43331.333333333336,0.214,43374.0,0.9990163077727057
48,1.0,0.3,50.0,0.224,582.0,146.66666666666666,0.48990476190476195,892.6666666666666,10.0,96.33333333333333,14332.333333333334,0.076,14391.666666666666,0.995877243775333
49,1.0,0.3,100.0,0.384,462.0,242.66666666666666,0.6165714285714285,671.0,10.0,96.33333333333333,22465.0,0.11266666666666666,22558.0,0.9958772940863552
50,1.0,0.3,250.0,0.656888888888889,257.3333333333333,355.0,0.7756190476190475,392.6666666666667,10.0,95.66666666666667,32518.0,0.18133333333333335,32623.0,0.9967814118873187
51,1.0,0.3,500.0,0.7942222222222222,154.33333333333334,403.3333333333333,0.868952380952381,229.33333333333334,10.0,98.0,37562.333333333336,0.18133333333333335,37713.0,0.9960049143089474
52,1.0,0.3,1000.0,0.8768888888888888,92.33333333333333,430.6666666666667,0.9339047619047619,115.66666666666667,10.0,97.66666666666667,40571.666666666664,0.21066666666666667,40668.0,0.9976312252057309
53,1.0,0.3,5000.0,0.9764444444444444,17.666666666666668,449.6666666666667,0.9881904761904762,20.666666666666668,10.0,98.0,43230.666666666664,0.22133333333333335,43346.0,0.9973392392992817
54,1.0,0.5,50.0,0.2297777777777778,577.6666666666666,141.33333333333334,0.4775238095238095,914.3333333333334,10.0,94.66666666666667,14349.333333333334,0.07533333333333334,14396.333333333334,0.99673527981662
55,1.0,0.5,100.0,0.4182222222222223,436.3333333333333,226.66666666666666,0.5977142857142858,704.0,10.0,96.66666666666667,22491.0,0.112,22559.666666666668,0.996956219802302
56,1.0,0.5,250.0,0.6715555555555556,246.33333333333334,346.0,0.7700952380952382,402.3333333333333,10.0,96.66666666666667,32528.0,0.17,32634.333333333332,0.9967416728802999
57,1.0,0.5,500.0,0.7955555555555555,153.33333333333334,390.6666666666667,0.8603809523809525,244.33333333333334,10.0,98.33333333333333,37609.333333333336,0.186,37717.0,0.9971454074643619
58,1.0,0.5,1000.0,0.888,84.0,431.6666666666667,0.9356190476190476,112.66666666666667,10.0,96.0,40586.666666666664,0.20466666666666666,40701.666666666664,0.9971745628762131
59,1.0,0.7,50.0,0.21955555555555553,585.3333333333334,154.0,0.46514285714285714,936.0,10.0,94.33333333333333,14364.333333333334,0.06533333333333333,14395.333333333334,0.9978465243365906
