,species,protein,codon_comp,tRNA_prop,tRNA_charging_rate
357,ATA_charged,99.0,55,1,10.0
358,ATA_uncharged,0.0,55,1,10.0
359,TTT_charged,1.0,55,1,10.0
360,TTT_uncharged,0.0,55,1,10.0
361,__proteinX_rbs,100.0,55,1,10.0
362,__ribosome,0.0,55,1,10.0
363,proteinX,0.0,55,1,10.0
364,ATA_charged,93.0,56,1,10.0
365,ATA_uncharged,6.0,56,1,10.0
366,TTT_charged,1.0,56,1,10.0
367,TTT_uncharged,0.0,56,1,10.0
368,__proteinX_rbs,100.0,56,1,10.0
369,__ribosome,0.0,56,1,10.0
370,proteinX,0.0,56,1,10.0
371,ATA_charged,99.0,59,1,10.0
372,ATA_uncharged,0.0,59,1,10.0
373,TTT_charged,0.0,59,1,10.0
374,TTT_uncharged,1.0,59,1,10.0
375,__proteinX_rbs,100.0,59,1,10.0
376,__ribosome,0.0,59,1,10.0
377,proteinX,0.0,59,1,10.0
378,ATA_charged,99.0,60,1,10.0
379,ATA_uncharged,0.0,60,1,10.0
380,TTT_charged,0.0,60,1,10.0
381,TTT_uncharged,1.0,60,1,10.0
382,__proteinX_rbs,100.0,60,1,10.0
383,__ribosome,0.0,60,1,10.0
384,proteinX,0.0,60,1,10.0
385,ATA_charged,98.0,61,1,10.0
386,ATA_uncharged,1.0,61,1,10.0
387,TTT_charged,0.0,61,1,10.0
388,TTT_uncharged,1.0,61,1,10.0
389,__proteinX_rbs,100.0,61,1,10.0
390,__ribosome,0.0,61,1,10.0
391,proteinX,0.0,61,1,10.0
392,ATA_charged,98.0,62,1,10.0
393,ATA_uncharged,1.0,62,1,10.0
394,TTT_charged,0.0,62,1,10.0
395,TTT_uncharged,1.0,62,1,10.0
396,__proteinX_rbs,100.0,62,1,10.0
397,__ribosome,0.0,62,1,10.0
398,proteinX,0.0,62,1,10.0
399,ATA_charged,99.0,63,1,10.0
400,ATA_uncharged,0.0,63,1,10.0
401,TTT_charged,0.0,63,1,10.0
402,TTT_uncharged,1.0,63,1,10.0
403,__proteinX_rbs,100.0,63,1,10.0
404,__ribosome,0.0,63,1,10.0
405,proteinX,0.0,63,1,10.0
