Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,
,,,,,,,,
Date:,12/27/2023,,,,,,,
Time:,1:41:30 PM,,,,,,,
,,,,,,,,
,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,
Plate-ID (Stacker),,,,,,,,
,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,
,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,
,,,,,,,,
List of actions in this measurement script:,,,,,,,,
D5,0.19709999859333,0.195600003004074,0.193499997258186,0.195099994540215,0.202800005674362,0.215700000524521,0.237100005149841,0.26690000295639
D6,0.197500005364418,0.198599994182587,0.196899995207787,0.198500007390976,0.20720000565052,0.221499994397163,0.245900005102158,0.276699990034103
D7,0.184400007128716,0.185399994254112,0.18469999730587,0.18639999628067,0.193900004029274,0.205400004982948,0.226500004529953,0.256199985742569
D8,0.093699999153614,0.0940999984741211,0.093699999153614,0.093699999153614,0.093800000846386,0.0935999974608421,0.093800000846386,0.0939000025391579
D9,0.0866999998688698,0.0848999992012978,0.0847999975085259,0.0846000015735626,0.0844999998807907,0.0842000022530556,0.0841000005602837,0.0842999964952469
D10,0.0810000002384186,0.0803999975323677,0.0800999999046326,0.0803000032901764,0.0802000015974045,0.0803999975323677,0.0806000009179115,0.0807999968528748
D11,0.0820000022649765,0.0816999971866608,0.0816000029444695,0.0815000012516975,0.0820999965071678,0.0857999995350838,0.0861999988555908,0.0863000005483627
E2,0.186499997973442,0.175999999046326,0.174099996685982,0.17739999294281,0.189300000667572,0.210700005292892,0.242899999022484,0.289700001478195
E3,0.189999997615814,0.1824000030756,0.178000003099442,0.178700000047684,0.1875,0.203700006008148,0.229100003838539,0.266200006008148
E4,0.186700001358986,0.184799998998642,0.1824000030756,0.183699995279312,0.199499994516373,0.214599996805191,0.241099998354912,0.274100005626678
E5,0.19650000333786,0.195500001311302,0.193599998950958,0.19760000705719,0.211300000548363,0.232700005173683,0.26800000667572,0.310900002717972
E6,0.196899995207787,0.196700006723404,0.194999992847443,0.197500005364418,0.210800006985664,0.230199992656708,0.260399997234345,0.30009999871254
E7,0.177100002765656,0.179100006818771,0.178100004792213,0.1807000041008,0.186700001358986,0.193599998950958,0.206699997186661,0.224999994039536
E8,0.0975999981164932,0.09740000218153,0.0952999964356422,0.0954999998211861,0.0952000021934509,0.0944999977946281,0.0939999967813492,0.0943000018596649
E9,0.0899000018835068,0.0894000008702278,0.0886000022292137,0.0878999978303909,0.0852999985218048,0.0869999974966049,0.0864000022411346,0.0856999978423119
E10,0.0793000012636185,0.0790000036358833,0.0820999965071678,0.0813999995589256,0.0816000029444695,0.0816999971866608,0.0817999988794327,0.0824000015854836
E11,0.0812999978661537,0.0808999985456467,0.0806000009179115,0.0806000009179115,0.0804999992251396,0.0828000009059906,0.0842999964952469,0.0847000032663345
F2,0.0839999988675118,0.0834000036120415,0.0834000036120415,0.0833000019192696,0.0833000019192696,0.0833000019192696,0.0832000002264977,0.0833000019192696
F3,0.0900000035762787,0.0874999985098839,0.0856000036001205,0.0847000032663345,0.0838000029325485,0.0838000029325485,0.0837000012397766,0.0851999968290329
F4,0.0901999995112419,0.0874999985098839,0.0860999971628189,0.0844999998807907,0.0847999975085259,0.0847000032663345,0.0848999992012978,0.0851000025868416
F5,0.0883999988436699,0.0864000022411346,0.0856999978423119,0.0851000025868416,0.0852999985218048,0.0851999968290329,0.0851000025868416,0.0855000019073486
F6,0.0879999995231628,0.0851000025868416,0.0846000015735626,0.0843999981880188,0.0841000005602837,0.0838999971747398,0.0838000029325485,0.0838999971747398
F7,0.0891000032424927,0.0852999985218048,0.0846000015735626,0.0843999981880188,0.0842000022530556,0.0838999971747398,0.0833000019192696,0.0838000029325485
