"","strain","rbs","time","GFP_high","GFP_low","OD600","fluor_norm","lnOD600","experiment","groupID","expression","growthrate","mCherry_high","mCherry_low"
"1874","GFP50","RBS0.5",9900,22577.5833333333,131.166666666667,0.270691674823562,83407.0103857072,-1.30677483708836,2,"2 GFP50 RBS0.5",36376.737914646,0.398480819832267,NA,NA
"1875","GFP50","RBS0.5",10800,26601.9166666667,155.5,0.299774990106622,88739.6131918978,-1.20472311871932,2,"2 GFP50 RBS0.5",21330.4112247626,0.408206873476166,NA,NA
"1876","GFP50","RBS0.5",11700,30296,178.833333333333,0.332408336922526,91140.9150579187,-1.101391135321,2,"2 GFP50 RBS0.5",9605.20746408356,0.413327933593258,NA,NA
"1877","GFP50","RBS0.5",12600,33675.5,199,0.372900012259682,90307.0498601885,-0.986444958920768,2,"2 GFP50 RBS0.5",-3335.46079092089,0.459784705600941,NA,NA
"1878","GFP50","RBS0.5",13500,36421.25,215.166666666667,0.42250833970805,86202.4404658303,-0.861546093425754,2,"2 GFP50 RBS0.5",-16418.4375774327,0.499595461980055,NA,NA
"1879","GFP50","RBS0.5",14400,38835.5,229.916666666667,0.474033317218224,81925.6760851724,-0.746477670267326,2,"2 GFP50 RBS0.5",-17107.0575226318,0.460273692633712,NA,NA
"1880","GFP50","RBS0.5",15300,40010.8333333333,240.166666666667,0.533883326376478,74943.0284794452,-0.627577953826034,2,"2 GFP50 RBS0.5",-27930.5904229085,0.47559886576517,NA,NA
"1881","GFP50","RBS0.5",16200,40921.75,244.25,0.572841661050916,71436.4069207647,-0.557145933698939,2,"2 GFP50 RBS0.5",-14026.486234722,0.281728080508381,NA,NA
"1882","GFP50","RBS0.5",17100,41796.4166666667,250.666666666667,0.607983322814107,68745.992033479,-0.497607826974229,2,"2 GFP50 RBS0.5",-10761.659549143,0.23815242689884,NA,NA
"1883","GFP50","RBS0.5",18000,42186.8333333333,253.833333333333,0.639233324676752,65995.9856671528,-0.447485750912907,2,"2 GFP50 RBS0.5",-11000.0254653048,0.200488304245286,NA,NA
"1884","GFP50","RBS0.5",18900,42145.9166666667,252.416666666667,0.667816664402684,63110.0104463001,-0.403741597602017,2,"2 GFP50 RBS0.5",-11543.9008834105,0.174976613243561,NA,NA
"1885","GFP50","RBS0.5",19800,41954.4166666667,251.25,0.706725013131897,59364.5560679153,-0.347113637639869,2,"2 GFP50 RBS0.5",-14981.8175135392,0.226511839848593,NA,NA
"1886","GFP50","RBS0.5",20700,41868.6666666667,250.583333333333,0.729983319838842,57355.6484494879,-0.314733594636588,2,"2 GFP50 RBS0.5",-8035.63047370984,0.129520172013123,NA,NA
"1887","GFP50","RBS0.5",21600,41535.5833333333,248.083333333333,0.753658356145024,55111.952245562,-0.28281612221986,2,"2 GFP50 RBS0.5",-8974.78481570343,0.127669889666912,NA,NA
"1888","GFP50","RBS0.5",22500,41506.5,247,0.774100005005797,53619.0411207776,-0.256054208304867,2,"2 GFP50 RBS0.5",-5971.64449913739,0.107047655659972,NA,NA
"1889","GFP50","RBS0.5",23400,41270.25,244.833333333333,0.792658338944117,52065.6226930952,-0.232362996412508,2,"2 GFP50 RBS0.5",-6213.67371072966,0.094764847569438,NA,NA
"1890","GFP50","RBS0.5",24300,41093.5,245.833333333333,0.806124990805984,50976.5860985326,-0.215516473056795,2,"2 GFP50 RBS0.5",-4356.14637825065,0.0673860934228496,NA,NA
"1891","GFP50","RBS0.5",25200,40990.5,244,0.824883320679267,49692.4825274022,-0.192513332129224,2,"2 GFP50 RBS0.5",-5136.41428452145,0.0920125637102845,NA,NA
"1892","GFP50","RBS0.5",26100,40754.5833333333,242.333333333333,0.83846666974326,48606.0863287654,-0.176180448367883,2,"2 GFP50 RBS0.5",-4345.58479454712,0.065331535045365,NA,NA
"1893","GFP50","RBS0.5",27000,40736,242.166666666667,0.851599977662166,47834.665416302,-0.160638372193243,2,"2 GFP50 RBS0.5",-3085.68364985357,0.0621683046985599,NA,NA
"1894","GFP50","RBS0.5",27900,40629.1666666667,242.916666666667,0.862033335492015,47131.7813289403,-0.148461336801678,2,"2 GFP50 RBS0.5",-2811.53634944701,0.048708141566258,NA,NA
"1895","GFP50","RBS0.5",28800,40798.25,243.666666666667,0.872141662364205,46779.3843140161,-0.136803411428156,2,"2 GFP50 RBS0.5",-1409.58805969678,0.0466317014940875,NA,NA
"1896","GFP50","RBS0.5",29700,40735.5,244.416666666667,0.87672500560681,46463.2578510814,-0.131561898372989,2,"2 GFP50 RBS0.5",-1264.5058517388,0.0209660522206687,NA,NA
"1897","GFP50","RBS0.5",30600,40808.9166666667,244.166666666667,0.886108313997587,46054.0952184067,-0.120916085287437,2,"2 GFP50 RBS0.5",-1636.65053069883,0.0425832523422094,NA,NA
"1898","GFP50","RBS0.5",31500,40642.1666666667,242.083333333333,0.898241672043999,45246.3606750543,-0.107316124343484,2,"2 GFP50 RBS0.5",-3230.93817340935,0.05439984377581,NA,NA
"1899","GFP50","RBS0.5",32400,40384.75,240.666666666667,0.908683352172375,44443.1494243323,-0.0957585929368557,2,"2 GFP50 RBS0.5",-3212.84500288829,0.0462301256265149,NA,NA
"1900","GFP50","RBS0.5",33300,40221.5833333333,240,0.917891656359037,43819.5325719363,-0.0856759167221042,2,"2 GFP50 RBS0.5",-2494.46740958406,0.0403307048590057,NA,NA
"1901","GFP50","RBS0.5",34200,40386.5833333333,241.083333333333,0.922583349049091,43775.5389526159,-0.0805775558761575,2,"2 GFP50 RBS0.5",-175.974477281416,0.0203934433837871,NA,NA
"1902","GFP50","RBS0.5",35100,40138.3333333333,239.75,0.928133314475417,43246.301697531,-0.0745798986738467,2,"2 GFP50 RBS0.5",-2116.9490203395,0.0239906288092432,NA,NA
"1903","GFP50","RBS0.5",36000,40137.0833333333,237.416666666667,0.934225012237827,42962.9723113382,-0.0680379573078411,2,"2 GFP50 RBS0.5",-1133.31754477139,0.0261677654640223,NA,NA
"1904","GFP50","RBS0.5",36900,40094.75,237.75,0.938916665191452,42703.2041143123,-0.0630285521771599,2,"2 GFP50 RBS0.5",-1039.07278810345,0.0200376205227249,NA,NA
"1905","GFP50","RBS0.5",37800,39897.75,237.416666666667,0.939875016609828,42450.0590981905,-0.0620083736115668,2,"2 GFP50 RBS0.5",-1012.58006448712,0.00408071426237236,NA,NA
"1906","GFP50","RBS0.5",38700,39797.5,236.583333333333,0.942608362684647,42220.6099324777,-0.0591043925982239,2,"2 GFP50 RBS0.5",-917.796662851179,0.0116159240533714,NA,NA
"1907","GFP50","RBS0.5",39600,39635.75,236.083333333333,0.95222499469916,41624.3537195978,-0.0489539331447204,2,"2 GFP50 RBS0.5",-2385.02485151973,0.0406018378140142,NA,NA
"1908","GFP50","RBS0.5",40500,39540.0833333333,235.75,0.952150038133065,41527.1561726362,-0.0490326535278821,2,"2 GFP50 RBS0.5",-388.790187846287,-0.000314881532646777,NA,NA
"1909","GFP50","RBS0.5",41400,39422.75,236.333333333333,0.961724997187654,40991.7077285948,-0.0390267348931202,2,"2 GFP50 RBS0.5",-2141.79377616566,0.0400236745390473,NA,NA
"1910","GFP50","RBS0.5",42300,39444,233.75,0.96295831600825,40961.2745892337,-0.0377451536782312,2,"2 GFP50 RBS0.5",-121.732557444513,0.00512632485955625,NA,NA
"1911","GFP50","RBS0.5",43200,39370.5,234.333333333333,0.966916638116042,40717.5742437427,-0.0336429939500851,2,"2 GFP50 RBS0.5",-974.801381964091,0.0164086389125842,NA,NA
"1912","GFP50","RBS1",0,3130.25,18.75,0.0267166669170062,117164.69010614,-3.62246767922452,2,"2 GFP50 RBS1",NA,NA,NA,NA
"1913","GFP50","RBS1",900,3402.91666666667,20.25,0.0310916695743799,109447.858968331,-3.47081535502237,2,"2 GFP50 RBS1",-30867.3245512391,0.606609296808619,NA,NA
"1914","GFP50","RBS1",1800,3201.33333333333,18.8333333333333,0.0376000019411246,85141.839576128,-3.28075117696064,2,"2 GFP50 RBS1",-97224.07756881,0.76025671224693,NA,NA
"1915","GFP50","RBS1",2700,3184.16666666667,18.8333333333333,0.049916664759318,63789.6518531373,-2.99740036886535,2,"2 GFP50 RBS1",-85408.7508919628,1.13340323238116,NA,NA
"1916","GFP50","RBS1",3600,3412.16666666667,19.8333333333333,0.0641749985516071,53169.7194184232,-2.74614157479436,2,"2 GFP50 RBS1",-42479.7297388565,1.00503517628395,NA,NA
"1917","GFP50","RBS1",4500,4208,23.4166666666667,0.0853000022470951,49331.768923175,-2.46158079814107,2,"2 GFP50 RBS1",-15351.801980993,1.13824310661316,NA,NA
"1918","GFP50","RBS1",5400,5859.16666666667,32.5,0.112274999419848,52185.853457514,-2.18680406517558,2,"2 GFP50 RBS1",11416.3381373563,1.09910693186197,NA,NA
"1919","GFP50","RBS1",6300,8847.91666666667,49.4166666666667,0.151108328253031,58553.4680249446,-1.88975829373043,2,"2 GFP50 RBS1",25470.4582697222,1.1881830857806,NA,NA
"1920","GFP50","RBS1",7200,12970,74.5833333333333,0.183274999881784,70767.9716729827,-1.69676752251751,2,"2 GFP50 RBS1",48858.0145921524,0.771963084851678,NA,NA
"1921","GFP50","RBS1",8100,18220.1666666667,104.25,0.212466670200229,85755.4111875334,-1.54897014903587,2,"2 GFP50 RBS1",59949.7580582031,0.591189493926524,NA,NA
"1922","GFP50","RBS1",9000,23861.5,136.75,0.236275006085634,100990.368788105,-1.44275887234444,2,"2 GFP50 RBS1",60939.830402287,0.42484510676572,NA,NA
"1923","GFP50","RBS1",9900,29263.0833333333,169.666666666667,0.255791661019127,114402.022398788,-1.36339198998126,2,"2 GFP50 RBS1",53646.6144427316,0.317467529452749,NA,NA
"1924","GFP50","RBS1",10800,34307.9166666667,198,0.271425009394685,126399.246492348,-1.30406938625177,2,"2 GFP50 RBS1",47988.8963742389,0.237290414917961,NA,NA
"1925","GFP50","RBS1",11700,38909.5,228.833333333333,0.289708329364657,134305.76913453,-1.23888062292993,2,"2 GFP50 RBS1",31626.090568728,0.260755053287341,NA,NA
"1926","GFP50","RBS1",12600,43050,254,0.31285000157853,137605.880718507,-1.16203143149212,2,"2 GFP50 RBS1",13200.4463359104,0.307396765751245,NA,NA
"1927","GFP50","RBS1",13500,46961.75,277.166666666667,0.339008326952656,138526.833314506,-1.08173060862119,2,"2 GFP50 RBS1",3683.81038399274,0.321203291483731,NA,NA
"1928","GFP50","RBS1",14400,49972,298.416666666667,0.370683333526055,134810.485069967,-0.992407129301884,2,"2 GFP50 RBS1",-14865.3929781526,0.357293917277214,NA,NA
"1929","GFP50","RBS1",15300,52846.3333333333,315.666666666667,0.410983317221204,128585.105815596,-0.889202656012393,2,"2 GFP50 RBS1",-24901.5170174847,0.412817893157966,NA,NA
"1930","GFP50","RBS1",16200,54537.75,328.25,0.458491669967771,118950.361745577,-0.779813155459882,2,"2 GFP50 RBS1",-38538.9762800771,0.437558002210042,NA,NA
"1931","GFP50","RBS1",17100,55615.4166666667,334.666666666667,0.511733325198293,108680.466813679,-0.669951638853788,2,"2 GFP50 RBS1",-41079.5797275918,0.439446066424379,NA,NA
"1932","GFP50","RBS1",18000,55249.8333333333,336.833333333333,0.560783330351114,98522.6028361803,-0.578420668469748,2,"2 GFP50 RBS1",-40631.4559099948,0.36612388153616,NA,NA
"1933","GFP50","RBS1",18900,55054.4166666667,333.416666666667,0.585266645376881,94067.2377309568,-0.535687731534353,2,"2 GFP50 RBS1",-17821.460420894,0.170931747741577,NA,NA
"1934","GFP50","RBS1",19800,55028.9166666667,333.75,0.605725002164642,90848.0192661905,-0.501329187715006,2,"2 GFP50 RBS1",-12876.8738590654,0.137434175277388,NA,NA
